run_date,asset,strategy,cost_bps,n_folds,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,profit_factor,turnover,total_transaction_costs,transaction_cost_pct_of_capital
2026-09-15,QQQ,momentum_60_day,10,24,0.08849057466877164,0.1167219768508153,0.568523611954759,0.7040425961843022,-0.09405918814563619,0.5451464515604771,1.1426897626947512,0.011285758588557777,273.8203243986508,0.002738203243986509
2026-09-15,QQQ,momentum_60_day,20,24,0.08567205373126108,0.11683650079990444,0.5414508495419691,0.6794962047008366,-0.09499526282458715,0.544502270900373,1.13558630302392,0.011285758588557777,547.127068453292,0.00547127068453292
2026-09-15,QQQ,ma_crossover_20_100,5,24,0.08608715089321821,0.11454940922912706,0.6899004250117212,0.7869900141087814,-0.09596275550985621,0.5538347388472972,1.1831625564180561,0.008385614955827252,102.92554018671463,0.0010292554018671465
2026-09-16,QQQ,ma_crossover_20_100,10,24,0.08467477904950245,0.11458397074185249,0.677033536237733,0.7755449758756825,-0.09623037037760764,0.5511768867679389,1.179300306326821,0.008384246592389923,205.79053330581533,0.002057905333058154
2026-09-16,QQQ,ma_crossover_20_100,20,24,0.08258285640507423,0.11469011306687782,0.6562134486462581,0.7576223938333649,-0.09677722123304945,0.5499559904373962,1.1727688963667042,0.008384246592389923,411.3388685972391,0.004113388685972393
2026-09-16,QQQ,mean_reversion_z,5,24,0.0438397984071058,0.1206678557348954,0.6801190167261694,0.49175318186795636,-0.09278091606151444,0.549675712709571,1.5110383004302335,0.04363076437794433,556.8111190060149,0.00556811119006015
2026-09-16,QQQ,mean_reversion_z,10,24,0.03812076268950564,0.12076859824562658,0.6220390352381743,0.45277360630645513,-0.09358414014322823,0.5444897153086613,1.4647913766935974,0.04363076437794433,1110.8093900726988,0.01110809390072699
2026-09-16,QQQ,mean_reversion_z,20,24,0.026769505272290304,0.12105310131459225,0.5048849064358344,0.3735474034940274,-0.09543767125534537,0.5330357818404409,1.3793712797327513,0.04363076437794433,2210.4199777183417,0.022104199777183416
2026-09-16,QQQ,rsi_14,5,24,0.07356162210798527,0.11271717688978061,0.8508737951072826,0.5536482528861701,-0.08761939855617729,0.5212287342926213,1.5502145316708338,0.02006542174516062,257.13998001624293,0.002571399800162429
2026-09-16,QQQ,rsi_14,10,24,0.07088369987451064,0.11275822112833145,0.827643503949091,0.5360908676756674,-0.0878522446148211,0.5181660736358746,1.5285439048923743,0.02006542174516062,513.7454658894019,0.005137454658894019
2026-09-16,QQQ,rsi_14,20,24,0.06554448803956918,0.11287528074451912,0.780695968160973,0.499621836777775,-0.08831732232438777,0.5108260700692685,1.4856668423158343,0.02006542174516062,1025.3562874702823,0.010253562874702825
2026-09-16,QQQ,vol_target_10pct,5,24,0.08542459162037856,0.10162950668696367,0.843800783576658,1.0823361150125863,-0.08032081758781863,0.5530620981700299,1.1757458974925379,0.021337394701292017,276.36862542944294,0.00276368625429443
2026-09-16,QQQ,vol_target_10pct,10,24,0.08249494598749954,0.10163933029710892,0.8171734601320596,1.046519452441129,-0.08083762090448793,0.5505305580269463,1.1702314288382942,0.021337394701292017,552.0041943005689,0.00552004194300569
2026-09-16,QQQ,vol_target_10pct,20,24,0.07665876438417128,0.1016636990935556,0.7638891120001174,0.9762576706126157,-0.08192951756076303,0.5487188672988685,1.1592202982273994,0.021337394701292017,1101.0855837168992,0.011010855837168992
2026-09-16,QQQ,ai_parameter_selector,5,24,0.09503141475285504,0.1129138657922505,0.7401851688279489,0.8347617756260942,-0.09184237637759007,0.540264112381377,1.1736926743776772,0.01260906688792735,157.3446595693425,0.0015734465956934254
2026-09-16,QQQ,ai_parameter_selector,10,24,0.09339711256215531,0.11297262913093353,0.7254640667787086,0.8224480601189041,-0.09250818490573294,0.5398887370060016,1.1697914325381016,0.01260906688792735,314.4764743743977,0.0031447647437439774
2026-09-16,QQQ,ai_parameter_selector,20,24,0.09013502991859346,0.11311270867000332,0.6962737966016078,0.7976251468538252,-0.09387295864980395,0.5390869773919814,1.1620165975247492,0.01260906688792735,628.1024511882453,0.006281024511882452
2026-09-16,IWM,buy_and_hold,5,24,0.11326145174310222,0.2199500711908082,0.6748588127166063,1.0322489047200238,-0.1851434889081207,0.5358136396849017,1.12462907031635,0.004062158962797372,50.0,0.0005000000000000003
2026-09-16,IWM,buy_and_hold,10,24,0.11274979036544668,0.22006981689587965,0.6723239345093823,1.0285220315562613,-0.18526321646362517,0.5358136396849017,1.1241448340742772,0.004062158962797372,100.0,0.0010000000000000005
2026-09-16,IWM,buy_and_hold,20,24,0.11172648649407842,0.22031353180920585,0.6672445445010159,1.0209455487374706,-0.18550289022411523,0.5354809703621924,1.1231799019073214,0.004062158962797372,200.0,0.002000000000000001
2026-09-16,IWM,momentum_60_day,5,24,0.04419177743975609,0.11817987519486639,0.22068311102823449,0.35341229925149925,-0.10712903912311013,0.5287430319985084,1.0550775308791203,0.014443069628796601,174.82387237095728,0.001748238723709573
2026-09-16,IWM,momentum_60_day,10,24,0.04242779782418062,0.11824475016252489,0.20371869322303834,0.3373201227490748,-0.10792399675806041,0.527108447726068,1.0508819646261112,0.014443069628796601,349.4192501561284,0.0034941925015612844
2026-09-16,IWM,momentum_60_day,20,24,0.03890674046870884,0.11839968477999362,0.1698996134122471,0.30430155133673603,-0.10952789555466508,0.5241064432624638,1.042583707906877,0.014443069628796601,697.9254952955577,0.006979254952955576
